date,city,death,pm10,tempF,o3,dow,season
1987-03-25,denv,17,-10.82868526,33.75,3.9347987944,Wednesday,Winter
1987-03-26,denv,17,1.171314741,40.75,5.3299151132,Thursday,Winter
1987-03-27,denv,13,-1.828685259,29.0,5.6886107654,Friday,Winter
1987-03-28,denv,17,-17.57931517,19.75,6.6608329876,Saturday,Winter
1987-03-29,denv,19,-8.828685259,14.75,4.340749449,Sunday,Winter
1987-03-30,denv,20,NA,29.25,-1.297500346,Monday,Winter
1987-03-31,denv,20,14.16091954,46.75,1.3136107654,Tuesday,Winter
1987-04-01,denv,21,NA,41.5,3.1159707541,Wednesday,Spring
1987-04-02,denv,29,2.171314741,30.75,1.9177760702,Thursday,Spring
1987-04-03,denv,19,0.9429549479,43.25,4.7173792448,Friday,Spring
1987-04-04,denv,11,NA,42.0,7.7574161157,Saturday,Spring
1987-04-05,denv,17,-19.82868526,41.0,13.407637421,Sunday,Spring
1987-04-06,denv,20,12.171314741,41.0,2.9076374208,Monday,Spring
1987-04-07,denv,21,9.171314741,42.75,1.9812681337,Tuesday,Spring
1987-04-08,denv,9,0.171314741,49.75,9.7580552098,Wednesday,Spring
1987-04-09,denv,13,0.2495917967,49.25,12.970004747,Thursday,Spring
1987-04-10,denv,13,6.171314741,48.5,6.0695506186,Friday,Spring
1987-04-11,denv,17,-16.82868526,54.5,4.8104151985,Saturday,Spring
1987-04-12,denv,15,-25.83908046,39.75,7.314601467,Sunday,Spring
1987-04-13,denv,15,-14.82868526,38.5,7.5229348003,Monday,Spring
1987-04-14,denv,19,4.171314741,44.0,1.5616266384,Tuesday,Spring
1987-04-15,denv,18,-3.100302494,58.75,7.8792432388,Wednesday,Spring
1987-04-16,denv,20,2.171314741,61.0,6.6153543499,Thursday,Spring
1987-04-17,denv,18,5.171314741,64.75,12.84742719,Friday,Spring
1987-04-18,denv,18,-15.83908046,66.0,19.077499654,Saturday,Spring
1987-04-19,denv,16,26.171314741,57.75,19.82686056,Sunday,Spring
1987-04-20,denv,15,NA,35.75,10.300808833,Monday,Spring
1987-04-21,denv,9,-4.015529772,44.0,10.142493034,Tuesday,Spring
