date,city,death,pm10,tempF,o3,dow,season
1987-03-24,salt,9,-2.869474284,38.5,-0.366716772,Tuesday,Winter
1987-03-25,salt,11,-8.047318612,40.0,2.0689716337,Wednesday,Winter
1987-03-26,salt,7,30.630525716,40.5,2.5816527931,Thursday,Winter
1987-03-27,salt,7,20.952681388,38.0,5.6396238076,Friday,Winter
1987-03-28,salt,6,-29.66599042,35.0,2.4104571409,Saturday,Winter
1987-03-29,salt,15,2.452681388,29.5,8.4521238076,Sunday,Winter
1987-03-30,salt,16,-10.36947428,35.0,-2.440992134,Monday,Winter
1987-03-31,salt,13,-5.047318612,43.5,-6.045982253,Tuesday,Winter
1987-04-01,salt,15,15.130525716,49.5,-3.068709526,Wednesday,Spring
1987-04-02,salt,10,NA,50.0,8.0590078656,Thursday,Spring
1987-04-03,salt,7,-1.547318612,57.5,9.4104571409,Friday,Spring
1987-04-04,salt,13,-11.62365931,53.0,7.7021238076,Saturday,Spring
1987-04-05,salt,7,-20.36947428,54.5,10.285457141,Sunday,Spring
1987-04-06,salt,10,-20.04731861,52.0,2.8157601712,Monday,Spring
1987-04-07,salt,5,-14.86947428,52.5,3.1033919235,Tuesday,Spring
1987-04-08,salt,17,-6.623659306,52.5,-1.899325468,Wednesday,Spring
1987-04-09,salt,9,-19.64035088,48.0,9.3479571409,Thursday,Spring
1987-04-10,salt,11,-9.047318612,51.0,-0.777042859,Friday,Spring
1987-04-11,salt,9,19.130525716,51.0,7.7229571409,Saturday,Spring
1987-04-12,salt,12,4.952681388,41.5,14.431290474,Sunday,Spring
1987-04-13,salt,7,-13.86947428,43.5,4.3479571409,Monday,Spring
1987-04-14,salt,9,2.952681388,53.0,2.1775025955,Tuesday,Spring
1987-04-15,salt,9,9.3596491228,61.0,-0.353129816,Wednesday,Spring
1987-04-16,salt,6,2.952681388,61.0,3.5164354018,Thursday,Spring
1987-04-17,salt,12,10.630525716,69.0,9.4312904743,Friday,Spring
1987-04-18,salt,7,202.95268139,62.5,35.347957141,Saturday,Spring
1987-04-19,salt,13,-32.69162996,37.0,11.258671427,Sunday,Spring
1987-04-20,salt,6,-16.04731861,43.5,2.3479571409,Monday,Spring
1987-04-21,salt,7,-4.2,50.0,7.3479571409,Tuesday,Spring
1987-04-22,salt,6,-1.047318612,57.0,10.514623808,Wednesday,Spring
1987-04-23,salt,13,0.630525716,64.0,2.6604571409,Thursday,Spring
1987-04-24,salt,14,-0.047318612,66.5,0.380112938,Friday,Spring
1987-04-25,salt,8,-7.869474284,67.0,9.5146238076,Saturday,Spring
1987-04-26,salt,9,-9.047318612,68.0,16.618790474,Sunday,Spring
1987-04-27,salt,14,-6.123659306,69.0,18.972957141,Monday,Spring
1987-04-28,salt,12,-11.04731861,70.5,14.091616561,Tuesday,Spring
1987-04-29,salt,8,3.630525716,71.0,16.639623808,Wednesday,Spring
1987-04-30,salt,4,-4.047318612,64.5,3.2229571409,Thursday,Spring
1987-05-01,salt,7,-3.869474284,57.5,3.6604571409,Friday,Spring
1987-05-02,salt,12,NA,51.0,8.7021238076,Saturday,Spring
